seller_id,total_revenue,total_orders,avg_review,avg_delivery,revenue_score,review_score_n,delivery_score,composite_score,grade,seller_short
7c67e1448b00f6e969d365cea6b010ab,510915.44,973,3.4006920415224915,22.041265474552958,100.0,47.92950832863926,44.53209195667591,68.1,B,7c67e144
da8622b14eb17ae2831f4ac5b9dab84a,276093.09,1311,4.075151515151515,10.646739130434783,53.999800893729365,69.88865398167724,78.45355062658116,65.2,B,da8622b1
1025f0e2d44d7041d6cf58b6550e0bfa,310186.7,910,3.8798076923076925,11.51907356948229,60.67852141693143,63.52862254025046,75.85661454281322,64.9,B,1025f0e2
53243585a1d6dc2643021fd1853d8905,279843.42,348,4.12,12.850117096018735,54.734466596181534,71.34883720930233,71.89410336773855,64.8,B,53243585
1f50f920176fa81dab994f9023523100,291526.94,1399,3.9880179730404395,15.1730482347091,57.023193568985,67.05174795945616,64.97874679788902,62.6,B,1f50f920
4869f7a5dfa277a7dca6462dcf3b52b2,261532.48,1124,4.123076923076923,14.744482173174873,51.14747035914117,71.44901610017888,66.25458622329538,62.3,B,4869f7a5
fa1c13f2614d7b5c4749cbc52fecda94,203262.0,578,4.3762541806020065,12.827242524916944,39.73265536381402,79.69199657773974,71.96220087304835,62.2,B,fa1c13f2
955fee9216a65b617aa5c0531780ce60,232228.24,1261,4.091823056300268,10.294078509647372,45.406956840483595,70.4314483446599,79.50341986302541,62.2,B,955fee92
4a3ca9315b744ce9f8e9374361493884,300724.29,1772,3.8246536072623027,13.800094517958412,58.82489571211599,61.73290814342381,69.06602443909539,62.0,B,4a3ca931
7e93a43ef30c4f03f38b393420bc753a,174053.79,319,4.363363363363363,10.874251497005988,34.010953509038416,79.2722955513653,77.77624723489421,60.9,B,7e93a43e
7a67c85e85bb2ce8582c35f2203ad736,167205.0,1145,4.257985257985258,10.561432058584215,32.66931927517169,75.84138049254328,78.70750943317285,59.1,C,7a67c85e
